name,variable,value
Acetohydroxamic Acid,2M.plus.H,151.0713328
Methylcarbamic acid,2M.plus.H,151.0713328
Methyl Carbamate,2M.plus.H,151.0713328
Glycolamide,2M.plus.H,151.0713328
Glycine,2M.plus.H,151.0713328
Hydroxyurea,2M.plus.H,153.0618308
Imidazolone,2M.plus.H,169.0720015
2-Aminoacrylic acid,2M.plus.H,175.0713328
Oxamic acid,2M.plus.H,179.029862
L-Alanine,2M.plus.H,179.1026329
D-Alanine,2M.plus.H,179.1026329
Sarcosine,2M.plus.H,179.1026329
beta-Alanine,2M.plus.H,179.1026329
Urethane,2M.plus.H,179.102633
DL-alanine,2M.plus.H,179.102633
Aminooxyacetic Acid,2M.plus.H,183.061162
N-Hydroxyglycine,2M.plus.H,183.061162
Ethynylglycine,2M.plus.H,199.0713328
(2Z)-2-aminobut-2-enoic acid,2M.plus.H,203.102632
"2-Azetidinecarboxylic acid, (S)-",2M.plus.H,203.102632
L-3-Aminodihydro-2(3H)-furanone,2M.plus.H,203.102633
1-Aminocyclopropanecarboxylic acid,2M.plus.H,203.102633
(S)-2-Azetidinecarboxylic acid,2M.plus.H,203.102633
Levcycloserine,2M.plus.H,205.09313
Cycloserine,2M.plus.H,205.09313
3-Oxoalanine,2M.plus.H,207.061162
L-alpha-Aminobutyric acid,2M.plus.H,207.133933
D-alpha-Aminobutyric acid,2M.plus.H,207.133933
N-Ethylglycine,2M.plus.H,207.133933
3-Aminoisobutanoic acid,2M.plus.H,207.133933
(S)-beta-Aminoisobutyric acid,2M.plus.H,207.133933
(R)-beta-Aminoisobutyric acid,2M.plus.H,207.133933
3-Aminobutanoic acid,2M.plus.H,207.133933
2-Aminoisobutyric acid,2M.plus.H,207.133933
O-Acetylethanolamine,2M.plus.H,207.133933
Dimethylglycine,2M.plus.H,207.133933
gamma-Aminobutyric acid,2M.plus.H,207.133933
Alpha-Aminobutyric Acid,2M.plus.H,207.133934
N-Methylalanine,2M.plus.H,207.133934
(S)-3-Aminobutyric acid,2M.plus.H,207.133934
N-methyl-beta-alanine,2M.plus.H,207.133934
"2,3-Diaminopropionic acid",2M.plus.H,209.124431
"3-Hydroxy-1,1-dimethylurea",2M.plus.H,209.124432
DL-Serine,2M.plus.H,211.092462
L-Serine,2M.plus.H,211.0924622
D-Serine,2M.plus.H,211.0924622
Hypotaurine,2M.plus.H,219.046776
1H-Pyrazole-5-carboxylic acid,2M.plus.H,225.06183
"3,4-dehydro-L-proline",2M.plus.H,227.102616
"Propargylglycine, DL-",2M.plus.H,227.102632
L-Propargylglycine,2M.plus.H,227.102632
"3,4-Dihydro-2H-pyrrole-5-carboxylic acid",2M.plus.H,227.102632
"2,3-Dihydro-1H-pyrrole-2-carboxylic acid",2M.plus.H,227.102632
1-Pyrroline-5-carboxylic acid,2M.plus.H,227.102633
Creatinine,2M.plus.H,227.1250998
"2,5-Piperazinedione",2M.plus.H,229.09313
L-3-Cyanoalanine,2M.plus.H,229.0931308
3-Amino-2-piperidone,2M.plus.H,229.165902
Maleamic acid,2M.plus.H,231.061162
4-Amino-2-methylenebutanoic acid,2M.plus.H,231.133933
L-Proline,2M.plus.H,231.133933
D-Proline,2M.plus.H,231.133933
N-Allylglycine,2M.plus.H,231.133934
Pleurocybellaziridin,2M.plus.H,231.133934
proline dl-form,2M.plus.H,231.133934
5-Aminopentanamide,2M.plus.H,233.197202
Homocysteine thiolactone,2M.plus.H,235.056945
2-Amino-3-oxobutanoic acid,2M.plus.H,235.092462
Oxetin,2M.plus.H,235.092462
Succinamic acid,2M.plus.H,235.092462
L-2-Amino-3-oxobutanoic acid,2M.plus.H,235.0924622
Acetylglycine,2M.plus.H,235.0924622
L-Aspartate-semialdehyde,2M.plus.H,235.0924622
(Diaminomethylideneamino) acetate,2M.plus.H,235.114928
Guanidoacetic acid,2M.plus.H,235.114929
Norvaline,2M.plus.H,235.1652332
L-Valine,2M.plus.H,235.1652332
N-Methyl-a-aminoisobutyric acid,2M.plus.H,235.1652332
5-Aminopentanoic acid,2M.plus.H,235.1652332
DL-norvaline,2M.plus.H,235.165234
DL-valine,2M.plus.H,235.165234
4-(Methylamino)butyric acid,2M.plus.H,235.165234
Betaine,2M.plus.H,235.165234
beta-aminomethyl-L-alanine ,2M.plus.H,237.155716
"2,4-Diaminobutyric acid",2M.plus.H,237.1557312
