name,variable,value
Acetohydroxamic Acid,M.plus.K,113.9951864
Methylcarbamic acid,M.plus.K,113.9951864
Methyl Carbamate,M.plus.K,113.9951864
Glycolamide,M.plus.K,113.9951864
Glycine,M.plus.K,113.9951864
Hydroxyurea,M.plus.K,114.9904354
Imidazolone,M.plus.K,122.9955208
2-Aminoacrylic acid,M.plus.K,125.9951864
Oxamic acid,M.plus.K,127.974451
L-Alanine,M.plus.K,128.0108365
D-Alanine,M.plus.K,128.0108365
Sarcosine,M.plus.K,128.0108365
beta-Alanine,M.plus.K,128.0108365
Urethane,M.plus.K,128.0108365
DL-alanine,M.plus.K,128.0108365
Aminooxyacetic Acid,M.plus.K,129.990101
N-Hydroxyglycine,M.plus.K,129.990101
Ethynylglycine,M.plus.K,137.9951864
(2Z)-2-aminobut-2-enoic acid,M.plus.K,140.010836
"2-Azetidinecarboxylic acid, (S)-",M.plus.K,140.010836
L-3-Aminodihydro-2(3H)-furanone,M.plus.K,140.0108365
1-Aminocyclopropanecarboxylic acid,M.plus.K,140.0108365
(S)-2-Azetidinecarboxylic acid,M.plus.K,140.0108365
Levcycloserine,M.plus.K,141.006085
Cycloserine,M.plus.K,141.006085
3-Oxoalanine,M.plus.K,141.990101
L-alpha-Aminobutyric acid,M.plus.K,142.0264865
D-alpha-Aminobutyric acid,M.plus.K,142.0264865
N-Ethylglycine,M.plus.K,142.0264865
3-Aminoisobutanoic acid,M.plus.K,142.0264865
(S)-beta-Aminoisobutyric acid,M.plus.K,142.0264865
(R)-beta-Aminoisobutyric acid,M.plus.K,142.0264865
3-Aminobutanoic acid,M.plus.K,142.0264865
2-Aminoisobutyric acid,M.plus.K,142.0264865
O-Acetylethanolamine,M.plus.K,142.0264865
Dimethylglycine,M.plus.K,142.0264865
gamma-Aminobutyric acid,M.plus.K,142.0264865
Alpha-Aminobutyric Acid,M.plus.K,142.026487
N-Methylalanine,M.plus.K,142.026487
(S)-3-Aminobutyric acid,M.plus.K,142.026487
N-methyl-beta-alanine,M.plus.K,142.026487
"2,3-Diaminopropionic acid",M.plus.K,143.0217355
"3-Hydroxy-1,1-dimethylurea",M.plus.K,143.021736
DL-Serine,M.plus.K,144.005751
L-Serine,M.plus.K,144.0057511
D-Serine,M.plus.K,144.0057511
Hypotaurine,M.plus.K,147.982908
1H-Pyrazole-5-carboxylic acid,M.plus.K,150.990435
"3,4-dehydro-L-proline",M.plus.K,152.010828
"Propargylglycine, DL-",M.plus.K,152.010836
L-Propargylglycine,M.plus.K,152.010836
"3,4-Dihydro-2H-pyrrole-5-carboxylic acid",M.plus.K,152.010836
"2,3-Dihydro-1H-pyrrole-2-carboxylic acid",M.plus.K,152.010836
1-Pyrroline-5-carboxylic acid,M.plus.K,152.0108365
Creatinine,M.plus.K,152.0220699
"2,5-Piperazinedione",M.plus.K,153.006085
L-3-Cyanoalanine,M.plus.K,153.0060854
3-Amino-2-piperidone,M.plus.K,153.042471
Maleamic acid,M.plus.K,153.990101
4-Amino-2-methylenebutanoic acid,M.plus.K,154.0264865
L-Proline,M.plus.K,154.0264865
D-Proline,M.plus.K,154.0264865
N-Allylglycine,M.plus.K,154.026487
Pleurocybellaziridin,M.plus.K,154.026487
proline dl-form,M.plus.K,154.026487
5-Aminopentanamide,M.plus.K,155.058121
Homocysteine thiolactone,M.plus.K,155.9879925
2-Amino-3-oxobutanoic acid,M.plus.K,156.005751
Oxetin,M.plus.K,156.005751
Succinamic acid,M.plus.K,156.005751
L-2-Amino-3-oxobutanoic acid,M.plus.K,156.0057511
Acetylglycine,M.plus.K,156.0057511
L-Aspartate-semialdehyde,M.plus.K,156.0057511
(Diaminomethylideneamino) acetate,M.plus.K,156.016984
Guanidoacetic acid,M.plus.K,156.0169845
Norvaline,M.plus.K,156.0421366
L-Valine,M.plus.K,156.0421366
N-Methyl-a-aminoisobutyric acid,M.plus.K,156.0421366
5-Aminopentanoic acid,M.plus.K,156.0421366
DL-norvaline,M.plus.K,156.042137
DL-valine,M.plus.K,156.042137
4-(Methylamino)butyric acid,M.plus.K,156.042137
Betaine,M.plus.K,156.042137
beta-aminomethyl-L-alanine ,M.plus.K,157.037378
"2,4-Diaminobutyric acid",M.plus.K,157.0373856
"L-2,4-diaminobutyric acid",M.plus.K,157.0373856
"(2S,3S)-2,3-Diaminobutanoic acid",M.plus.K,157.037386
"(2R,3S)-2,3-Diaminobutanoic acid",M.plus.K,157.037386
3-(Methylamino)-(DL)-alanine,M.plus.K,157.037386
beta-N-Methylamino-L-alanine,M.plus.K,157.037386
N-(2-Aminoethyl)glycine,M.plus.K,157.037386
Betaine,M.plus.K,157.0499616
Aminomalonic acid,M.plus.K,157.9850157
N-Carboxyglycine,M.plus.K,157.985016
2-Amino-3-hydroxybutanoic acid,M.plus.K,158.021401
D-Allothreonine,M.plus.K,158.021401
D-Threonine,M.plus.K,158.021401
2-Methyl-L-serine,M.plus.K,158.021401
2-Methyl-D-serine,M.plus.K,158.021401
Methylserine,M.plus.K,158.021401
"gamma-Amino-beta-hydroxybutyric acid, (+)-",M.plus.K,158.021401
DL-homoserine,M.plus.K,158.021401
D-Homoserine,M.plus.K,158.021401
N-(2-Hydroxyethyl)glycine,M.plus.K,158.021401
L-Allothreonine,M.plus.K,158.0214012
L-Threonine,M.plus.K,158.0214012
Aminoethoxyacetic acid,M.plus.K,158.0214012
4-Amino-3-hydroxybutyrate,M.plus.K,158.0214012
Hydroxyethyl glycine,M.plus.K,158.0214012
L-Homoserine,M.plus.K,158.0214012
Nitraminoacetic acid,M.plus.K,158.980265
L-Cysteine,M.plus.K,159.9829072
D-Cysteine,M.plus.K,159.9829076
DL-Cysteine,M.plus.K,159.982908
3-Chloroalaninate,M.plus.K,161.971864
Taurine,M.plus.K,163.977818
4-Methylpyrazole-3(5)-carboxylic acid,M.plus.K,165.006085
Imidazoleacetic acid,M.plus.K,165.006085
1H-Imidazole-1-acetic acid,M.plus.K,165.0060854
"2,3-dehydropipecolic acid",M.plus.K,166.026478
(±)-4-Methylene-2-pyrrolidinecarboxylic acid,M.plus.K,166.0264865
"2,3,4,5-Tetrahydro-2-pyridinecarboxylic acid",M.plus.K,166.0264865
(2S)-2-Aminohex-5-ynoic acid,M.plus.K,166.026487
"(2R,3Z)-2-aminohexa-3,5-dienoic acid",M.plus.K,166.026487
"(S)-2-Amino-4,5-hexadienoic acid",M.plus.K,166.026487
(S)-2-Aminohex-4-ynoic acid,M.plus.K,166.026487
Methylenecyclopropylglycine,M.plus.K,166.026487
(2S)-2-amino-3-methylidenepent-4-enoic acid,M.plus.K,166.026487
Guvacine,M.plus.K,166.026487
"(S)-4,5-Didehydropipecolic acid",M.plus.K,166.026487
"3,4,5,6-Tetrahydropyridine-2-carboxylic acid",M.plus.K,166.026487
Tetrahydropicolinic acid,M.plus.K,166.026487
"(S)-1,2,3,4-Tetrahydro-2-pyridinecarboxylic acid",M.plus.K,166.026487
"2,3,4,5-Tetrahydropyridine-2-carboxylic acid",M.plus.K,166.026487
"(1R,2S,5S)-3-Azabicyclo[3.1.0]Hexane-2-Carboxylic Acid",M.plus.K,166.026487
L-Cyclo(alanylglycyl),M.plus.K,167.0217355
Cyclo(-ala-gly),M.plus.K,167.021736
(S)-piperidine-2-carboxamide,M.plus.K,167.058121
beta-Ethynylserine,M.plus.K,168.005751
"(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic acid",M.plus.K,168.005751
1-Pyrroline-4-hydroxy-2-carboxylate,M.plus.K,168.005751
4-Oxopyrrolidine-2-carboxylic acid,M.plus.K,168.005751
4-Oxo-L-proline,M.plus.K,168.005751
Pyrrolidone carboxylic acid,M.plus.K,168.005751
D-Pyroglutamic acid,M.plus.K,168.005751
N-Acryloylglycine,M.plus.K,168.0057511
dimethadione,M.plus.K,168.0057511
Pyrroline hydroxycarboxylic acid,M.plus.K,168.0057511
Pyroglutamic acid,M.plus.K,168.0057511
N-methyl-L-proline,M.plus.K,168.042128
Vigabatrin,M.plus.K,168.0421366
L-trans-4-Methyl-2-pyrrolidinecarboxylic acid,M.plus.K,168.0421366
Pipecolic acid,M.plus.K,168.0421366
L-Pipecolic acid,M.plus.K,168.0421366
D-Pipecolic acid,M.plus.K,168.0421366
"(1S,2S)-1-amino-2-ethylcyclopropanecarboxylic acid",M.plus.K,168.042137
"(Z,2S)-2-amino-3-methylpent-3-enoic acid",M.plus.K,168.042137
3-Methylenenorvaline,M.plus.K,168.042137
Dl-cyclopropylalanine,M.plus.K,168.042137
"2-(1-Methylcyclopropyl)glycine, (S)-",M.plus.K,168.042137
"methyl (2S)-3,3-dimethylaziridine-2-carboxylate",M.plus.K,168.042137
"(1r,2s)-2-Aminocyclopentanecarboxylic acid",M.plus.K,168.042137
