name,variable,value
Acetohydroxamic Acid,M.plus.NH4,93.0658514
Methylcarbamic acid,M.plus.NH4,93.0658514
Methyl Carbamate,M.plus.NH4,93.0658514
Glycolamide,M.plus.NH4,93.0658514
Glycine,M.plus.NH4,93.06585141
Hydroxyurea,M.plus.NH4,94.0611004
Imidazolone,M.plus.NH4,102.0661858
2-Aminoacrylic acid,M.plus.NH4,105.0658514
Oxamic acid,M.plus.NH4,107.045116
L-Alanine,M.plus.NH4,107.0815015
D-Alanine,M.plus.NH4,107.0815015
Sarcosine,M.plus.NH4,107.0815015
beta-Alanine,M.plus.NH4,107.0815015
Urethane,M.plus.NH4,107.0815015
DL-alanine,M.plus.NH4,107.0815015
Aminooxyacetic Acid,M.plus.NH4,109.060766
N-Hydroxyglycine,M.plus.NH4,109.060766
Ethynylglycine,M.plus.NH4,117.0658514
(2Z)-2-aminobut-2-enoic acid,M.plus.NH4,119.081501
"2-Azetidinecarboxylic acid, (S)-",M.plus.NH4,119.081501
L-3-Aminodihydro-2(3H)-furanone,M.plus.NH4,119.0815015
1-Aminocyclopropanecarboxylic acid,M.plus.NH4,119.0815015
(S)-2-Azetidinecarboxylic acid,M.plus.NH4,119.0815015
Levcycloserine,M.plus.NH4,120.07675
Cycloserine,M.plus.NH4,120.07675
3-Oxoalanine,M.plus.NH4,121.060766
L-alpha-Aminobutyric acid,M.plus.NH4,121.0971515
D-alpha-Aminobutyric acid,M.plus.NH4,121.0971515
N-Ethylglycine,M.plus.NH4,121.0971515
3-Aminoisobutanoic acid,M.plus.NH4,121.0971515
(S)-beta-Aminoisobutyric acid,M.plus.NH4,121.0971515
(R)-beta-Aminoisobutyric acid,M.plus.NH4,121.0971515
3-Aminobutanoic acid,M.plus.NH4,121.0971515
2-Aminoisobutyric acid,M.plus.NH4,121.0971515
O-Acetylethanolamine,M.plus.NH4,121.0971515
Dimethylglycine,M.plus.NH4,121.0971515
gamma-Aminobutyric acid,M.plus.NH4,121.0971515
Alpha-Aminobutyric Acid,M.plus.NH4,121.097152
N-Methylalanine,M.plus.NH4,121.097152
(S)-3-Aminobutyric acid,M.plus.NH4,121.097152
N-methyl-beta-alanine,M.plus.NH4,121.097152
"2,3-Diaminopropionic acid",M.plus.NH4,122.0924005
"3-Hydroxy-1,1-dimethylurea",M.plus.NH4,122.092401
DL-Serine,M.plus.NH4,123.076416
L-Serine,M.plus.NH4,123.0764161
D-Serine,M.plus.NH4,123.0764161
Hypotaurine,M.plus.NH4,127.053573
1H-Pyrazole-5-carboxylic acid,M.plus.NH4,130.0611
"3,4-dehydro-L-proline",M.plus.NH4,131.081493
"Propargylglycine, DL-",M.plus.NH4,131.081501
L-Propargylglycine,M.plus.NH4,131.081501
"3,4-Dihydro-2H-pyrrole-5-carboxylic acid",M.plus.NH4,131.081501
"2,3-Dihydro-1H-pyrrole-2-carboxylic acid",M.plus.NH4,131.081501
1-Pyrroline-5-carboxylic acid,M.plus.NH4,131.0815015
Creatinine,M.plus.NH4,131.0927349
"2,5-Piperazinedione",M.plus.NH4,132.07675
L-3-Cyanoalanine,M.plus.NH4,132.0767504
3-Amino-2-piperidone,M.plus.NH4,132.113136
Maleamic acid,M.plus.NH4,133.060766
4-Amino-2-methylenebutanoic acid,M.plus.NH4,133.0971515
L-Proline,M.plus.NH4,133.0971515
D-Proline,M.plus.NH4,133.0971515
N-Allylglycine,M.plus.NH4,133.097152
Pleurocybellaziridin,M.plus.NH4,133.097152
proline dl-form,M.plus.NH4,133.097152
5-Aminopentanamide,M.plus.NH4,134.128786
Homocysteine thiolactone,M.plus.NH4,135.0586575
2-Amino-3-oxobutanoic acid,M.plus.NH4,135.076416
Oxetin,M.plus.NH4,135.076416
Succinamic acid,M.plus.NH4,135.076416
L-2-Amino-3-oxobutanoic acid,M.plus.NH4,135.0764161
Acetylglycine,M.plus.NH4,135.0764161
L-Aspartate-semialdehyde,M.plus.NH4,135.0764161
(Diaminomethylideneamino) acetate,M.plus.NH4,135.087649
Guanidoacetic acid,M.plus.NH4,135.0876495
Norvaline,M.plus.NH4,135.1128016
L-Valine,M.plus.NH4,135.1128016
N-Methyl-a-aminoisobutyric acid,M.plus.NH4,135.1128016
5-Aminopentanoic acid,M.plus.NH4,135.1128016
DL-norvaline,M.plus.NH4,135.112802
DL-valine,M.plus.NH4,135.112802
4-(Methylamino)butyric acid,M.plus.NH4,135.112802
Betaine,M.plus.NH4,135.112802
beta-aminomethyl-L-alanine ,M.plus.NH4,136.108043
"2,4-Diaminobutyric acid",M.plus.NH4,136.1080506
