name,variable,value
Acetohydroxamic Acid,Monoisotopic,75.0320284
Methylcarbamic acid,Monoisotopic,75.0320284
Methyl Carbamate,Monoisotopic,75.0320284
Glycolamide,Monoisotopic,75.0320284
Glycine,Monoisotopic,75.03202841
Hydroxyurea,Monoisotopic,76.0272774
Imidazolone,Monoisotopic,84.03236276
2-Aminoacrylic acid,Monoisotopic,87.03202841
Oxamic acid,Monoisotopic,89.011293
L-Alanine,Monoisotopic,89.04767847
D-Alanine,Monoisotopic,89.04767847
Sarcosine,Monoisotopic,89.04767847
beta-Alanine,Monoisotopic,89.04767847
Urethane,Monoisotopic,89.0476785
DL-alanine,Monoisotopic,89.0476785
Aminooxyacetic Acid,Monoisotopic,91.026943
N-Hydroxyglycine,Monoisotopic,91.026943
Ethynylglycine,Monoisotopic,99.0320284
(2Z)-2-aminobut-2-enoic acid,Monoisotopic,101.047678
"2-Azetidinecarboxylic acid, (S)-",Monoisotopic,101.047678
L-3-Aminodihydro-2(3H)-furanone,Monoisotopic,101.0476785
1-Aminocyclopropanecarboxylic acid,Monoisotopic,101.0476785
(S)-2-Azetidinecarboxylic acid,Monoisotopic,101.0476785
Levcycloserine,Monoisotopic,102.042927
Cycloserine,Monoisotopic,102.042927
3-Oxoalanine,Monoisotopic,103.026943
L-alpha-Aminobutyric acid,Monoisotopic,103.0633285
D-alpha-Aminobutyric acid,Monoisotopic,103.0633285
N-Ethylglycine,Monoisotopic,103.0633285
3-Aminoisobutanoic acid,Monoisotopic,103.0633285
(S)-beta-Aminoisobutyric acid,Monoisotopic,103.0633285
(R)-beta-Aminoisobutyric acid,Monoisotopic,103.0633285
3-Aminobutanoic acid,Monoisotopic,103.0633285
2-Aminoisobutyric acid,Monoisotopic,103.0633285
O-Acetylethanolamine,Monoisotopic,103.0633285
Dimethylglycine,Monoisotopic,103.0633285
gamma-Aminobutyric acid,Monoisotopic,103.0633285
Alpha-Aminobutyric Acid,Monoisotopic,103.063329
N-Methylalanine,Monoisotopic,103.063329
(S)-3-Aminobutyric acid,Monoisotopic,103.063329
N-methyl-beta-alanine,Monoisotopic,103.063329
"2,3-Diaminopropionic acid",Monoisotopic,104.0585775
"3-Hydroxy-1,1-dimethylurea",Monoisotopic,104.058578
DL-Serine,Monoisotopic,105.042593
L-Serine,Monoisotopic,105.0425931
D-Serine,Monoisotopic,105.0425931
Hypotaurine,Monoisotopic,109.01975
1H-Pyrazole-5-carboxylic acid,Monoisotopic,112.027277
"3,4-dehydro-L-proline",Monoisotopic,113.04767
"Propargylglycine, DL-",Monoisotopic,113.047678
L-Propargylglycine,Monoisotopic,113.047678
"3,4-Dihydro-2H-pyrrole-5-carboxylic acid",Monoisotopic,113.047678
"2,3-Dihydro-1H-pyrrole-2-carboxylic acid",Monoisotopic,113.047678
1-Pyrroline-5-carboxylic acid,Monoisotopic,113.0476785
Creatinine,Monoisotopic,113.0589119
"2,5-Piperazinedione",Monoisotopic,114.042927
L-3-Cyanoalanine,Monoisotopic,114.0429274
3-Amino-2-piperidone,Monoisotopic,114.079313
Maleamic acid,Monoisotopic,115.026943
4-Amino-2-methylenebutanoic acid,Monoisotopic,115.0633285
L-Proline,Monoisotopic,115.0633285
D-Proline,Monoisotopic,115.0633285
N-Allylglycine,Monoisotopic,115.063329
Pleurocybellaziridin,Monoisotopic,115.063329
proline dl-form,Monoisotopic,115.063329
5-Aminopentanamide,Monoisotopic,116.094963
Homocysteine thiolactone,Monoisotopic,117.0248345
2-Amino-3-oxobutanoic acid,Monoisotopic,117.042593
Oxetin,Monoisotopic,117.042593
Succinamic acid,Monoisotopic,117.042593
L-2-Amino-3-oxobutanoic acid,Monoisotopic,117.0425931
Acetylglycine,Monoisotopic,117.0425931
L-Aspartate-semialdehyde,Monoisotopic,117.0425931
(Diaminomethylideneamino) acetate,Monoisotopic,117.053826
Guanidoacetic acid,Monoisotopic,117.0538265
Norvaline,Monoisotopic,117.0789786
L-Valine,Monoisotopic,117.0789786
N-Methyl-a-aminoisobutyric acid,Monoisotopic,117.0789786
5-Aminopentanoic acid,Monoisotopic,117.0789786
DL-norvaline,Monoisotopic,117.078979
DL-valine,Monoisotopic,117.078979
4-(Methylamino)butyric acid,Monoisotopic,117.078979
Betaine,Monoisotopic,117.078979
beta-aminomethyl-L-alanine ,Monoisotopic,118.07422
"2,4-Diaminobutyric acid",Monoisotopic,118.0742276
"L-2,4-diaminobutyric acid",Monoisotopic,118.0742276
"(2S,3S)-2,3-Diaminobutanoic acid",Monoisotopic,118.074228
"(2R,3S)-2,3-Diaminobutanoic acid",Monoisotopic,118.074228
3-(Methylamino)-(DL)-alanine,Monoisotopic,118.074228
beta-N-Methylamino-L-alanine,Monoisotopic,118.074228
N-(2-Aminoethyl)glycine,Monoisotopic,118.074228
Betaine,Monoisotopic,118.0868036
Aminomalonic acid,Monoisotopic,119.0218577
N-Carboxyglycine,Monoisotopic,119.021858
2-Amino-3-hydroxybutanoic acid,Monoisotopic,119.058243
D-Allothreonine,Monoisotopic,119.058243
D-Threonine,Monoisotopic,119.058243
2-Methyl-L-serine,Monoisotopic,119.058243
2-Methyl-D-serine,Monoisotopic,119.058243
Methylserine,Monoisotopic,119.058243
"gamma-Amino-beta-hydroxybutyric acid, (+)-",Monoisotopic,119.058243
DL-homoserine,Monoisotopic,119.058243
D-Homoserine,Monoisotopic,119.058243
N-(2-Hydroxyethyl)glycine,Monoisotopic,119.058243
L-Allothreonine,Monoisotopic,119.0582432
L-Threonine,Monoisotopic,119.0582432
